date,construct,leisure,manufacture,total
1990-01-01,393.29999,702.79999,517.70001,4484.2998
1990-02-01,395.29999,725.59998,518,4529.6001
1990-03-01,398.29999,743.40002,518.20001,4573.2998
1990-04-01,391.29999,732.5,512.09998,4538.2002
1990-05-01,391.10001,723.5,513.79999,4535.7002
1990-06-01,393.5,718.29999,513.29999,4544.5
1990-07-01,389.29999,701.70001,505.79999,4481.3999
1990-08-01,389.29999,700.70001,506.20001,4497.3999
1990-09-01,385.60001,690.09998,503.70001,4483.2002
1990-10-01,380.79999,681,498.10001,4477.7002
1990-11-01,374.20001,692.5,497.89999,4513.5
1990-12-01,366.60001,700.09998,496.89999,4540.2002
1991-01-01,348.10001,687.09998,485.20001,4420.6001
1991-02-01,344.79999,705.09998,483.79999,4433.2998
1991-03-01,345.39999,721.70001,483.39999,4460.8999
1991-04-01,341.20001,707,479.29999,4423.8999
1991-05-01,343,698.40002,479.29999,4421.2002
1991-06-01,343.39999,691.70001,478.70001,4413.2002
1991-07-01,339.70001,674.79999,472.10001,4366.1001
1991-08-01,343.29999,672.90002,475.39999,4383.3999
1991-09-01,341.29999,665.20001,475.79999,4378.7998
1991-10-01,338.5,660.59998,473.60001,4380.2002
1991-11-01,338,672.40002,476.39999,4431.2998
1991-12-01,334.29999,681.59998,474.5,4461
1992-01-01,324.39999,681.70001,469.70001,4391
1992-02-01,323.89999,697.5,470,4418.3999
1992-03-01,327.20001,716.09998,471.70001,4460
1992-04-01,328.39999,710.70001,471.10001,4459.3999
1992-05-01,331.70001,706.20001,472.10001,4463.6001
1992-06-01,334.39999,702,472.70001,4464
1992-07-01,335.5,687,472,4429.3999
1992-08-01,337.70001,688.09998,471.29999,4433
1992-09-01,343.10001,681,472.39999,4442
1992-10-01,353.5,683.90002,472.79999,4489
1992-11-01,356.10001,698.70001,475.29999,4548.2002
1992-12-01,357.70001,705.20001,477.20001,4607
1993-01-01,346.29999,709.29999,473.89999,4537.8999
1993-02-01,351.20001,731.79999,477.29999,4597.7002
1993-03-01,354.29999,750.59998,479.10001,4642.6001
1993-04-01,355.5,748.5,478.70001,4669.7002
