observation_date	B230RC0Q173SBEA	GDPDEF_20191220	NA000283Q	NA000304Q	NA000334Q_20191220
1947-01-01	143143	11.960	10208	14018	58497
1947-04-01	143790	12.131	10260	9202	60672
1947-07-01	144449	12.335	10394	9875	62196
1947-10-01	145122	12.639	9488	9719	68250
1948-01-01	145709	12.739	9493	14203	64258
1948-04-01	146289	12.854	9945	9115	66539
1948-07-01	146921	13.092	10456	9794	69378
1948-10-01	147607	13.132	11510	9264	74295
1949-01-01	148254	13.062	11542	11963	66185
1949-04-01	148847	12.931	11587	8078	66340
1949-07-01	149485	12.872	11570	9344	68625
1949-10-01	150167	12.873	11631	8475	71322
1950-01-01	150786	12.853	13460	12427	68032
1950-04-01	151319	12.897	11378	10558	70872
1950-07-01	151973	13.177	10365	12916	77178
1950-10-01	152658	13.425	11717	12902	83746
1951-01-01	153291	13.909	12810	19539	81603
1951-04-01	153902	14.002	14031	14429	84645
1951-07-01	154610	14.010	15418	14360	87586
1951-10-01	155344	14.170	16153	14587	93076
1952-01-01	155976	14.163	15769	19777	87610
1952-04-01	156587	14.180	16593	15027	88913
1952-07-01	157267	14.339	17483	15638	91270
1952-10-01	157986	14.378	18085	15369	99548
1953-01-01	158574	14.381	17827	21023	94008
1953-04-01	159160	14.409	18183	15836	97392
1953-07-01	159889	14.470	17783	17124	96695
1953-10-01	160639	14.497	18973	14624	101121
1954-01-01	161328	14.543	17748	19198	93581
1954-04-01	161983	14.556	17324	13583	96090
1954-07-01	162731	14.575	17474	15097	96905
1954-10-01	163524	14.615	17965	14633	103980
1955-01-01	164204	14.683	17808	17881	99833
1955-04-01	164864	14.744	17127	18512	104406
1955-07-01	165612	14.847	18155	17737	107058
1955-10-01	166419	14.995	18550	16942	114181
1956-01-01	167109	15.144	17907	19517	106892
1956-04-01	167788	15.234	18323	20234	110356
1956-07-01	168573	15.425	18388	18302	111816
1956-10-01	169416	15.487	19818	17790	120287
1957-01-01	170172	15.700	19883	20794	113459
1957-04-01	170869	15.810	20024	21664	117125
1957-07-01	171638	15.904	20570	19383	119108
1957-10-01	172417	15.915	21466	17476	124349
1958-01-01	173064	16.087	21017	18781	113202
1958-04-01	173729	16.134	21642	19854	117802
1958-07-01	174483	16.232	22482	18907	120079
1958-10-01	175288	16.309	22977	18514	130149
1959-01-01	176045	16.347	22035	20121	123707
1959-04-01	176727	16.372	22526	22441	131641
1959-07-01	177481	16.435	23367	21665	130194
1959-10-01	178268	16.499	22580	22375	136112
1960-01-01	179319	16.566	22495	22841	131022
1960-04-01	180401	16.607	23333	24165	136488
1960-07-01	181301	16.665	23533	23132	135021
1960-10-01	182019	16.714	24037	23417	139850
1961-01-01	182634	16.750	23982	22125	132138
1961-04-01	183337	16.789	25290	24183	140168
1961-07-01	184103	16.832	24915	23696	140509
1961-10-01	184894	16.885	25624	25075	149394
1962-01-01	185553	16.972	26366	23965	144274
1962-04-01	186203	16.999	26634	26207	150952
1962-07-01	186926	17.035	27806	25833	150614
1962-10-01	187680	17.070	27751	27182	158078
1963-01-01	188299	17.145	27791	26362	150949
1963-04-01	188906	17.175	27918	28967	158886
1963-07-01	189631	17.198	29371	27781	159597
1963-10-01	190362	17.337	28419	28226	168017
1964-01-01	190954	17.392	29160	26434	162413
1964-04-01	191560	17.432	29254	28751	170097
1964-07-01	192256	17.502	30737	27745	171593
1964-10-01	192938	17.581	29060	28388	180356
1965-01-01	193467	17.670	29667	28598	173462
1965-04-01	193994	17.751	30530	31046	183818
1965-07-01	194647	17.819	33257	29452	185525
1965-10-01	195279	17.942	32487	31331	199483
1966-01-01	195763	18.057	33520	31277	191022
1966-04-01	196277	18.205	34916	35329	201635
1966-07-01	196877	18.381	38487	34703	203439
1966-10-01	197481	18.535	37451	36078	217316
1967-01-01	197967	18.612	40032	34500	204098
1967-04-01	198455	18.707	40567	36910	213246
1967-07-01	199012	18.886	43051	36495	214456
1967-10-01	199572	19.096	42116	38352	228140
1968-01-01	199995	19.308	43940	38440	218405
1968-04-01	200452	19.511	45791	42246	234781
1968-07-01	200997	19.703	47929	43919	235737
1968-10-01	201538	19.981	46668	45972	251704
1969-01-01	201955	20.187	46556	45784	238912
1969-04-01	202419	20.444	48613	49609	254764
1969-07-01	202986	20.731	51589	47618	255302
1969-10-01	203584	20.998	50225	48823	268638
1970-01-01	204086	21.294	51453	45466	253998
1970-04-01	204721	21.591	55218	48007	268532
1970-07-01	205419	21.768	57762	45890	268019
1970-10-01	206130	22.056	55514	45765	282764
1971-01-01	206763	22.391	57845	45023	273782
1971-04-01	207362	22.685	61019	48681	291216
1971-07-01	208000	22.916	61860	47550	291043
1971-10-01	208642	23.107	60877	49454	308808
1972-01-01	209142	23.458	64172	49988	299204
1972-04-01	209637	23.604	67346	55296	318894
1972-07-01	210181	23.830	66730	55444	319052
1972-10-01	210737	24.134	69771	58281	341962
1973-01-01	211192	24.412	70322	57176	333807
1973-04-01	211663	24.787	72462	63116	354356
1973-07-01	212191	25.270	72838	63422	354349
1973-10-01	212708	25.773	71933	65531	382865
1974-01-01	213144	26.260	75812	64054	361840
1974-04-01	213602	26.880	79644	71029	384120
1974-07-01	214147	27.668	80362	72660	385975
1974-10-01	214700	28.482	84032	70759	413310
1975-01-01	215135	29.129	89569	65172	391688
1975-04-01	215652	29.562	95285	63061	414253
1975-07-01	216289	30.084	93386	73437	423323
1975-10-01	216848	30.587	96519	75165	455641
1976-01-01	217314	30.911	99687	74697	441178
1976-04-01	217776	31.222	99305	82091	465343
1976-07-01	218338	31.626	100816	82645	466535
1976-10-01	218917	32.192	103677	83154	500358
1977-01-01	219427	32.711	105994	82575	481996
1977-04-01	219956	33.172	107581	93004	515010
1977-07-01	220573	33.576	109872	93687	526844
1977-10-01	221201	34.301	113869	94604	557979
1978-01-01	221719	34.800	117694	92603	534990
1978-04-01	222281	35.465	120300	106597	583171
1978-07-01	222933	36.067	121714	109527	596032
1978-10-01	223583	36.806	126154	115098	637402
1979-01-01	224152	37.476	128768	112349	618499
1979-04-01	224737	38.394	131279	122092	648326
