DATE	SMU12455400500000001	SMU12455400500000001_CCA	SMU12455400500000001_CCH	SMU12455400500000001_CH1	SMU12455400500000001_CHG	SMU12455400500000001_LOG	SMU12455400500000001_PC1	SMU12455400500000001_PCA	SMU12455400500000001_PCH	SMU12455400500000002	SMU12455400500000002_CCA	SMU12455400500000002_CCH	SMU12455400500000002_CH1	SMU12455400500000002_CHG	SMU12455400500000002_LOG	SMU12455400500000002_PC1	SMU12455400500000002_PCA	SMU12455400500000002_PCH	SMU12455400500000003	SMU12455400500000003_CCA	SMU12455400500000003_CCH	SMU12455400500000003_CH1	SMU12455400500000003_CHG	SMU12455400500000003_LOG	SMU12455400500000003_PC1	SMU12455400500000003_PCA	SMU12455400500000003_PCH	SMU12455400500000011	SMU12455400500000011_CCA	SMU12455400500000011_CCH	SMU12455400500000011_CH1	SMU12455400500000011_CHG	SMU12455400500000011_LOG	SMU12455400500000011_PC1	SMU12455400500000011_PCA	SMU12455400500000011_PCH	SMU12455400800000001	SMU12455400800000001_CCA	SMU12455400800000001_CCH	SMU12455400800000001_CH1	SMU12455400800000001_CHG	SMU12455400800000001_LOG	SMU12455400800000001_PC1	SMU12455400800000001_PCA	SMU12455400800000001_PCH
1990-01-01	6.0	.	.	.	.	1.79176	.	.	.																												4.4	.	.	.	.	1.48160	.	.	.
1990-02-01	5.9	-20.16854	-1.68071	.	-0.1	1.77495	.	-18.26480	-1.66667																												4.4	0.00000	0.00000	.	0.0	1.48160	.	0.00000	0.00000
1990-03-01	6.0	20.16854	1.68071	.	0.1	1.79176	.	22.34631	1.69492																												4.4	0.00000	0.00000	.	0.0	1.48160	.	0.00000	0.00000
1990-04-01	5.9	-20.16854	-1.68071	.	-0.1	1.77495	.	-18.26480	-1.66667																												4.4	0.00000	0.00000	.	0.0	1.48160	.	0.00000	0.00000
1990-05-01	6.0	20.16854	1.68071	.	0.1	1.79176	.	22.34631	1.69492																												4.4	0.00000	0.00000	.	0.0	1.48160	.	0.00000	0.00000
1990-06-01	5.8	-40.68186	-3.39016	.	-0.2	1.75786	.	-33.42351	-3.33333																												4.3	-27.58742	-2.29895	.	-0.1	1.45862	.	-24.10916	-2.27273
1990-07-01	5.8	0.00000	0.00000	.	0.0	1.75786	.	0.00000	0.00000																												4.3	0.00000	0.00000	.	0.0	1.45862	.	0.00000	0.00000
1990-08-01	5.9	20.51332	1.70944	.	0.1	1.77495	.	22.76886	1.72414																												4.3	0.00000	0.00000	.	0.0	1.45862	.	0.00000	0.00000
1990-09-01	5.9	0.00000	0.00000	.	0.0	1.77495	.	0.00000	0.00000																												4.3	0.00000	0.00000	.	0.0	1.45862	.	0.00000	0.00000
1990-10-01	5.6	-62.62290	-5.21858	.	-0.3	1.72277	.	-46.53960	-5.08475																												4.1	-57.15366	-4.76280	.	-0.2	1.41099	.	-43.53429	-4.65116
1990-11-01	5.6	0.00000	0.00000	.	0.0	1.72277	.	0.00000	0.00000																												4.2	28.91706	2.40976	.	0.1	1.43508	.	33.53195	2.43902
1990-12-01	5.5	-21.62221	-1.80185	.	-0.1	1.70475	.	-19.44436	-1.78571																												4.1	-28.91706	-2.40976	.	-0.1	1.41099	.	-25.11156	-2.38095
1991-01-01	5.5	0.00000	0.00000	-0.5	0.0	1.70475	-8.33333	0.00000	0.00000																												4.1	0.00000	0.00000	-0.3	0.0	1.41099	-6.81818	0.00000	0.00000
1991-02-01	5.5	0.00000	0.00000	-0.4	0.0	1.70475	-6.77966	0.00000	0.00000																												4.2	28.91706	2.40976	-0.2	0.1	1.43508	-4.54545	33.53195	2.43902
1991-03-01	5.6	21.62221	1.80185	-0.4	0.1	1.72277	-6.66667	24.13780	1.81818																												4.2	0.00000	0.00000	-0.2	0.0	1.43508	-4.54545	0.00000	0.00000
1991-04-01	5.6	0.00000	0.00000	-0.3	0.0	1.72277	-5.08475	0.00000	0.00000																												4.3	28.23660	2.35305	-0.1	0.1	1.45862	-2.27273	32.62640	2.38095
1991-05-01	5.6	0.00000	0.00000	-0.4	0.0	1.72277	-6.66667	0.00000	0.00000																												4.3	0.00000	0.00000	-0.1	0.0	1.45862	-2.27273	0.00000	0.00000
1991-06-01	5.5	-21.62221	-1.80185	-0.3	-0.1	1.70475	-5.17241	-19.44436	-1.78571																												4.2	-28.23660	-2.35305	-0.1	-0.1	1.43508	-2.32558	-24.60023	-2.32558
1991-07-01	5.3	-44.44953	-3.70413	-0.5	-0.2	1.66771	-8.62069	-35.88522	-3.63636																												4.0	-58.54820	-4.87902	-0.3	-0.2	1.38629	-6.97674	-44.31626	-4.76190
1991-08-01	5.4	22.43056	1.86921	-0.5	0.1	1.68640	-8.47458	25.14534	1.88679																												4.0	0.00000	0.00000	-0.3	0.0	1.38629	-6.97674	0.00000	0.00000
1991-09-01	5.3	-22.43056	-1.86921	-0.6	-0.1	1.66771	-10.16949	-20.09291	-1.85185																												3.9	-30.38137	-2.53178	-0.4	-0.1	1.36098	-9.30233	-26.20017	-2.50000
1991-10-01	5.3	0.00000	0.00000	-0.3	0.0	1.66771	-5.35714	0.00000	0.00000																												3.9	0.00000	0.00000	-0.2	0.0	1.36098	-4.87805	0.00000	0.00000
1991-11-01	5.4	22.43056	1.86921	-0.2	0.1	1.68640	-3.57143	25.14534	1.88679																												4.0	30.38137	2.53178	-0.2	0.1	1.38629	-4.76190	35.50166	2.56410
1991-12-01	5.5	22.01897	1.83491	0.0	0.1	1.70475	0.00000	24.63131	1.85185																												4.0	0.00000	0.00000	-0.1	0.0	1.38629	-2.43902	0.00000	0.00000
1992-01-01	5.4	-22.01897	-1.83491	-0.1	-0.1	1.68640	-1.81818	-19.76334	-1.81818																												4.0	0.00000	0.00000	-0.1	0.0	1.38629	-2.43902	0.00000	0.00000
1992-02-01	5.4	0.00000	0.00000	-0.1	0.0	1.68640	-1.81818	0.00000	0.00000																												4.0	0.00000	0.00000	-0.2	0.0	1.38629	-4.76190	0.00000	0.00000
1992-03-01	5.4	0.00000	0.00000	-0.2	0.0	1.68640	-3.57143	0.00000	0.00000																												4.0	0.00000	0.00000	-0.2	0.0	1.38629	-4.76190	0.00000	0.00000
1992-04-01	5.4	0.00000	0.00000	-0.2	0.0	1.68640	-3.57143	0.00000	0.00000																												4.0	0.00000	0.00000	-0.3	0.0	1.38629	-6.97674	0.00000	0.00000
1992-05-01	5.3	-22.43056	-1.86921	-0.3	-0.1	1.66771	-5.35714	-20.09291	-1.85185																												3.9	-30.38137	-2.53178	-0.4	-0.1	1.36098	-9.30233	-26.20017	-2.50000
1992-06-01	5.3	0.00000	0.00000	-0.2	0.0	1.66771	-3.63636	0.00000	0.00000																												3.9	0.00000	0.00000	-0.3	0.0	1.36098	-7.14286	0.00000	0.00000
1992-07-01	5.4	22.43056	1.86921	0.1	0.1	1.68640	1.88679	25.14534	1.88679																												4.0	30.38137	2.53178	0.0	0.1	1.38629	0.00000	35.50166	2.56410
1992-08-01	5.3	-22.43056	-1.86921	-0.1	-0.1	1.66771	-1.85185	-20.09291	-1.85185																												3.9	-30.38137	-2.53178	-0.1	-0.1	1.36098	-2.50000	-26.20017	-2.50000
1992-09-01	5.3	0.00000	0.00000	0.0	0.0	1.66771	0.00000	0.00000	0.00000																												3.9	0.00000	0.00000	0.0	0.0	1.36098	0.00000	0.00000	0.00000
1992-10-01	5.4	22.43056	1.86921	0.1	0.1	1.68640	1.88679	25.14534	1.88679																												4.0	30.38137	2.53178	0.1	0.1	1.38629	2.56410	35.50166	2.56410
1992-11-01	5.6	43.64117	3.63676	0.2	0.2	1.72277	3.70370	54.71457	3.70370																												4.1	29.63114	2.46926	0.1	0.1	1.41099	2.50000	34.48888	2.50000
1992-12-01	5.7	21.23949	1.76996	0.2	0.1	1.74047	3.63636	23.66362	1.78571																												4.2	28.91706	2.40976	0.2	0.1	1.43508	5.00000	33.53195	2.43902
1993-01-01	5.4	-64.88067	-5.40672	0.0	-0.3	1.68640	0.00000	-47.73309	-5.26316																												4.0	-58.54820	-4.87902	0.0	-0.2	1.38629	0.00000	-44.31626	-4.76190
1993-02-01	5.5	22.01897	1.83491	0.1	0.1	1.70475	1.85185	24.63131	1.85185																												4.1	29.63114	2.46926	0.1	0.1	1.41099	2.50000	34.48888	2.50000
