DATE,fl_bp,fl_lf,fl_nonfarm,us_epr
1/1/39,,,402.5,
2/1/39,,,408.6,
3/1/39,,,413.1,
4/1/39,,,397.7,
5/1/39,,,379.3,
6/1/39,,,369.9,
7/1/39,,,362.2,
8/1/39,,,359,
9/1/39,,,367.5,
10/1/39,,,388.5,
11/1/39,,,406.8,
12/1/39,,,430.9,
1/1/40,,,427.7,
2/1/40,,,436.5,
3/1/40,,,437,
4/1/40,,,418.7,
5/1/40,,,401.6,
6/1/40,,,389.9,
7/1/40,,,385.1,
8/1/40,,,394.7,
9/1/40,,,410.1,
10/1/40,,,432.8,
11/1/40,,,466.4,
12/1/40,,,493,
1/1/41,,,495.2,
2/1/41,,,500,
3/1/41,,,487.2,
4/1/41,,,473.2,
5/1/41,,,456.3,
6/1/41,,,443.9,
7/1/41,,,445.1,
8/1/41,,,451.7,
9/1/41,,,460.8,
10/1/41,,,471.1,
11/1/41,,,492.1,
12/1/41,,,518.9,
1/1/42,,,517.7,
2/1/42,,,508.3,
3/1/42,,,505.6,
4/1/42,,,502.8,
5/1/42,,,499.7,
6/1/42,,,501,
7/1/42,,,502.3,
8/1/42,,,511.9,
9/1/42,,,517.1,
10/1/42,,,528.1,
11/1/42,,,541.5,
12/1/42,,,565.6,
1/1/43,,,563.8,
2/1/43,,,574.8,
3/1/43,,,583.3,
4/1/43,,,588.3,
5/1/43,,,588.1,
6/1/43,,,586.9,
7/1/43,,,583.5,
8/1/43,,,579.1,
9/1/43,,,576.9,
10/1/43,,,580,
11/1/43,,,590.3,
12/1/43,,,602.3,
1/1/44,,,601.6,
2/1/44,,,606.2,
3/1/44,,,605.6,
4/1/44,,,597.6,
5/1/44,,,583,
6/1/44,,,574.3,
7/1/44,,,561.9,
8/1/44,,,553.7,
9/1/44,,,556.8,
10/1/44,,,565.9,
11/1/44,,,582.5,
12/1/44,,,601.5,
1/1/45,,,595.3,
2/1/45,,,592.7,
3/1/45,,,590,
4/1/45,,,574.4,
5/1/45,,,562.1,
6/1/45,,,555.9,
7/1/45,,,542,
8/1/45,,,543.1,
9/1/45,,,530.6,
10/1/45,,,530,
11/1/45,,,549.1,
12/1/45,,,581.9,
1/1/46,,,596.5,
2/1/46,,,601.9,
3/1/46,,,600.7,
4/1/46,,,592.5,
5/1/46,,,571.3,
6/1/46,,,561.6,
7/1/46,,,556.1,
8/1/46,,,564.1,
9/1/46,,,578.5,
10/1/46,,,600.5,
11/1/46,,,632.9,
12/1/46,,,663.9,
1/1/47,,,678.7,
2/1/47,,,676.8,
3/1/47,,,672.9,
4/1/47,,,642.7,
5/1/47,,,621.2,
6/1/47,,,611.5,
7/1/47,,,593.4,
8/1/47,,,597.4,
9/1/47,,,609.5,
10/1/47,,,634.3,
11/1/47,,,661.3,
12/1/47,,,697,
1/1/48,,,705.8,54.9
2/1/48,,,702.3,55
3/1/48,,,693,55.1
4/1/48,,,672.6,55.9
5/1/48,,,639.9,56.1
6/1/48,,,627.6,58
7/1/48,,,612.1,58.1
8/1/48,,,612.2,57.8
9/1/48,,,625.9,57.4
10/1/48,,,641.6,57.4
11/1/48,,,665.4,57
12/1/48,,,696.1,56.6
1/1/49,,,703,54.6
2/1/49,,,703.4,54.4
3/1/49,,,700.7,54.8
4/1/49,,,676.9,54.9
5/1/49,,,637.8,55.5
6/1/49,,,619,56
7/1/49,,,603.8,55.9
8/1/49,,,609,56.2
9/1/49,,,621.8,56
10/1/49,,,639.9,55.6
11/1/49,,,664.8,56.1
12/1/49,,,707.3,55.2
1/1/50,,,711.1,53.7
2/1/50,,,718.6,53.7
3/1/50,,,717.7,54.1
4/1/50,,,710,55.1
5/1/50,,,682.3,55.9
6/1/50,,,674.5,57.1
7/1/50,,,662.4,56.9
8/1/50,,,677.4,57.9
9/1/50,,,689.1,57.2
10/1/50,,,704.9,57.8
11/1/50,,,730.8,57.5
12/1/50,,,774.2,56.6
1/1/51,,,778.5,55.5
2/1/51,,,789.6,55.5
3/1/51,,,790.3,56.7
4/1/51,,,771.4,56.6
5/1/51,,,741.1,57.6
6/1/51,,,730.2,57.8
7/1/51,,,713.6,58.3
8/1/51,,,719,58.5
9/1/51,,,728.8,57.8
10/1/51,,,749.3,58.2
11/1/51,,,779.9,57.7
12/1/51,,,824.9,57.5
1/1/52,,,829.5,56.2
2/1/52,,,837.8,56.1
3/1/52,,,838.1,56.2
4/1/52,,,822.1,56.5
5/1/52,,,788.7,57.4
6/1/52,,,778.7,58
7/1/52,,,763.3,57.7
8/1/52,,,766.8,57.8
9/1/52,,,778.5,58
10/1/52,,,798.5,57.8
11/1/52,,,828,58.1
12/1/52,,,875.7,57.4
1/1/53,,,883.1,56.4
2/1/53,,,886.9,56.5
3/1/53,,,880.9,57
4/1/53,,,863.2,56.9
5/1/53,,,831.3,57.1
6/1/53,,,816.7,58.1
7/1/53,,,800,58.1
8/1/53,,,804.5,58.1
9/1/53,,,813.4,57.4
10/1/53,,,834,57.6
11/1/53,,,867.6,57
12/1/53,,,904.5,55.6
1/1/54,,,909.2,54.4
2/1/54,,,913.3,54.7
3/1/54,,,907.4,54.7
4/1/54,,,900.9,55.1
5/1/54,,,865.2,55.5
6/1/54,,,845.1,55.9
7/1/54,,,832.5,55.9
8/1/54,,,839.6,56.1
9/1/54,,,851.8,56.2
10/1/54,,,870.1,56.3
11/1/54,,,905.3,56
12/1/54,,,952.1,55.1
1/1/55,,,961.1,54.4
2/1/55,,,973.5,54.4
