DATE,FLNA
1990-01-01,5344.0
1990-02-01,5363.2
1990-03-01,5374.5
1990-04-01,5370.5
1990-05-01,5382.0
1990-06-01,5385.9
1990-07-01,5374.5
1990-08-01,5370.4
1990-09-01,5362.5
1990-10-01,5357.3
1990-11-01,5344.4
1990-12-01,5336.4
1991-01-01,5310.8
1991-02-01,5292.3
1991-03-01,5284.0
1991-04-01,5272.1
1991-05-01,5271.2
1991-06-01,5262.1
1991-07-01,5268.0
1991-08-01,5273.3
1991-09-01,5263.8
1991-10-01,5260.7
1991-11-01,5268.8
1991-12-01,5263.7
1992-01-01,5282.4
1992-02-01,5277.7
1992-03-01,5316.9
1992-04-01,5298.5
1992-05-01,5318.5
1992-06-01,5319.8
1992-07-01,5337.5
1992-08-01,5334.6
1992-09-01,5348.8
1992-10-01,5377.9
1992-11-01,5405.7
1992-12-01,5420.6
1993-01-01,5440.0
1993-02-01,5468.8
1993-03-01,5480.3
1993-04-01,5524.7
1993-05-01,5532.9
1993-06-01,5546.0
1993-07-01,5566.5
1993-08-01,5572.3
1993-09-01,5575.8
1993-10-01,5616.9
1993-11-01,5623.3
1993-12-01,5644.7
1994-01-01,5665.4
1994-02-01,5680.9
1994-03-01,5704.7
1994-04-01,5733.6
1994-05-01,5753.2
1994-06-01,5773.8
1994-07-01,5792.6
1994-08-01,5795.8
1994-09-01,5827.5
1994-10-01,5829.3
1994-11-01,5889.5
1994-12-01,5875.6
1995-01-01,5888.0
1995-02-01,5909.2
1995-03-01,5931.3
1995-04-01,5933.2
1995-05-01,5952.2
1995-06-01,5974.5
1995-07-01,5968.6
1995-08-01,5972.9
1995-09-01,6009.1
1995-10-01,6020.1
1995-11-01,6047.9
1995-12-01,6069.7
1996-01-01,6058.9
1996-02-01,6082.9
1996-03-01,6131.3
1996-04-01,6110.3
1996-05-01,6129.8
1996-06-01,6145.3
1996-07-01,6158.2
1996-08-01,6155.6
1996-09-01,6204.3
1996-10-01,6223.6
1996-11-01,6240.6
1996-12-01,6260.2
1997-01-01,6286.1
1997-02-01,6291.6
1997-03-01,6312.2
1997-04-01,6355.2
1997-05-01,6369.2
1997-06-01,6392.4
1997-07-01,6415.5
1997-08-01,6397.4
1997-09-01,6462.3
1997-10-01,6462.1
1997-11-01,6478.4
1997-12-01,6499.5
1998-01-01,6530.6
1998-02-01,6540.0
1998-03-01,6549.8
1998-04-01,6549.8
1998-05-01,6573.5
1998-06-01,6609.9
1998-07-01,6623.5
1998-08-01,6591.6
1998-09-01,6646.0
1998-10-01,6679.0
1998-11-01,6699.3
1998-12-01,6716.3
1999-01-01,6708.6
1999-02-01,6737.6
1999-03-01,6747.9
1999-04-01,6759.0
1999-05-01,6779.1
1999-06-01,6823.0
1999-07-01,6799.8
1999-08-01,6767.3
1999-09-01,6816.9
1999-10-01,6862.8
1999-11-01,6886.0
1999-12-01,6913.5
2000-01-01,6944.5
2000-02-01,6950.9
2000-03-01,6983.1
2000-04-01,7006.8
2000-05-01,7039.5
2000-06-01,7026.8
2000-07-01,7073.9
2000-08-01,7127.1
2000-09-01,7112.9
2000-10-01,7117.2
2000-11-01,7129.4
2000-12-01,7143.7
2001-01-01,7126.2
2001-02-01,7142.4
2001-03-01,7152.9
2001-04-01,7152.5
2001-05-01,7156.2
2001-06-01,7142.8
2001-07-01,7157.9
2001-08-01,7185.6
2001-09-01,7157.5
2001-10-01,7137.5
2001-11-01,7121.5
2001-12-01,7114.4
2002-01-01,7116.6
2002-02-01,7120.2
2002-03-01,7130.8
2002-04-01,7137.9
2002-05-01,7147.0
2002-06-01,7133.7
2002-07-01,7146.2
2002-08-01,7175.3
2002-09-01,7164.6
2002-10-01,7184.7
2002-11-01,7191.2
2002-12-01,7199.4
2003-01-01,7196.8
2003-02-01,7201.1
