"","DATE","EMRATIO","FLBPPRIVSA","FLLF","FLNA"
"1","1990-01-01",63.2,16403.8103419505,6379104,5344
"2","1990-02-01",63.2,10363.8305936923,6406451,5363.2
"3","1990-03-01",63.2,11886.3404169556,6429132,5374.5
"4","1990-04-01",63,11687.3093920628,6446148,5370.5
"5","1990-05-01",63.1,10445.1353786164,6458777,5382
"6","1990-06-01",62.9,9994.10463557153,6468195,5385.9
"7","1990-07-01",62.8,10364.4780046392,6476949,5374.5
"8","1990-08-01",62.7,10467.1626900994,6485727,5370.4
"9","1990-09-01",62.5,9151.63626472548,6492712,5362.5
"10","1990-10-01",62.5,9038.32259494345,6496409,5357.3
"11","1990-11-01",62.3,10118.483836518,6497875,5344.4
"12","1990-12-01",62.2,7474.30717363466,6498557,5336.4
"13","1991-01-01",62,7735.71306548845,6499530,5310.8
"14","1991-02-01",61.9,7870.04071517164,6503303,5292.3
"15","1991-03-01",61.8,7248.1650874752,6509319,5284
"16","1991-04-01",62,8245.65035008984,6516320,5272.1
"17","1991-05-01",61.6,8941.65579198029,6523977,5271.2
"18","1991-06-01",61.7,8305.68130742957,6531524,5262.1
"19","1991-07-01",61.6,8621.98825952663,6537530,5268
"20","1991-08-01",61.5,7998.57654624817,6542562,5273.3
"21","1991-09-01",61.6,7469.95781908718,6548927,5263.8
"22","1991-10-01",61.5,7746.72551461373,6557473,5260.7
"23","1991-11-01",61.4,7530.8002376319,6568219,5268.8
"24","1991-12-01",61.2,8968.99595572188,6580212,5263.7
"25","1992-01-01",61.5,8067.89512808722,6592991,5282.4
"26","1992-02-01",61.3,7879.72917224062,6606363,5277.7
"27","1992-03-01",61.5,9380.68540527353,6621640,5316.9
"28","1992-04-01",61.6,8467.29252734215,6639323,5298.5
"29","1992-05-01",61.5,7335.46581747956,6656141,5318.5
"30","1992-06-01",61.5,8514.47350922391,6669464,5319.8
"31","1992-07-01",61.6,9040.55075954665,6678803,5337.5
"32","1992-08-01",61.6,7983.68360250289,6683343,5334.6
"33","1992-09-01",61.4,8723.09130699941,6682982,5348.8
"34","1992-10-01",61.3,9361.02117371751,6680312,5377.9
"35","1992-11-01",61.4,8592.76228914039,6677143,5405.7
"36","1992-12-01",61.4,9266.20987504963,6675929,5420.6
"37","1993-01-01",61.4,7851.81379989646,6679597,5440
"38","1993-02-01",61.4,9834.43877165513,6688766,5468.8
"39","1993-03-01",61.5,9332.72841998569,6703371,5480.3
"40","1993-04-01",61.5,9894.40216459324,6721312,5524.7
"41","1993-05-01",61.7,10136.1030281813,6739840,5532.9
"42","1993-06-01",61.8,9836.90717719027,6756852,5546
"43","1993-07-01",61.8,9346.7157955745,6769578,5566.5
"44","1993-08-01",62,9978.84337094096,6779077,5572.3
"45","1993-09-01",61.7,11204.2981902543,6789508,5575.8
"46","1993-10-01",61.8,9337.78063243727,6803359,5616.9
"47","1993-11-01",61.9,10741.0115950113,6821359,5623.3
"48","1993-12-01",62,13472.8661765176,6843187,5644.7
"49","1994-01-01",62.2,11272.9074238161,6865821,5665.4
"50","1994-02-01",62.3,10610.7604282224,6884889,5680.9
"51","1994-03-01",62.1,10704.4448226947,6898052,5704.7
"52","1994-04-01",62.3,9907.98927992799,6906739,5733.6
"53","1994-05-01",62.5,10218.2464562264,6914985,5753.2
"54","1994-06-01",62.3,10308.8926153116,6926352,5773.8
"55","1994-07-01",62.3,10890.9764510374,6943167,5792.6
"56","1994-08-01",62.6,12597.7170176829,6964069,5795.8
"57","1994-09-01",62.7,10557.5864787375,6985415,5827.5
"58","1994-10-01",62.9,10487.3431796011,7003963,5829.3
"59","1994-11-01",63,10631.392497674,7018794,5889.5
"60","1994-12-01",63.1,10205.64497981,7027968,5875.6
"61","1995-01-01",63,10363.9875499845,7030505,5888
"62","1995-02-01",63.1,9434.70426752435,7029552,5909.2
"63","1995-03-01",63.1,9929.84423177316,7027919,5931.3
"64","1995-04-01",63.1,9592.46434281198,7027097,5933.2
"65","1995-05-01",62.7,9700.29801329705,7029365,5952.2
"66","1995-06-01",62.7,10359.5479447116,7035498,5974.5
"67","1995-07-01",62.8,9467.86265371961,7044713,5968.6
"68","1995-08-01",62.8,9917.63208015089,7054662,5972.9
"69","1995-09-01",62.9,12790.5762099534,7063035,6009.1
"70","1995-10-01",62.9,9535.93056161867,7069141,6020.1
"71","1995-11-01",62.8,11033.3079370295,7072625,6047.9
"72","1995-12-01",62.7,10608.4528441663,7075076,6069.7
"73","1996-01-01",62.7,10125.3823669964,7079505,6058.9
"74","1996-02-01",62.9,10821.7767492523,7087634,6082.9
"75","1996-03-01",63,9138.08388588177,7100222,6131.3
"76","1996-04-01",63,11016.8047356878,7116787,6110.3
"77","1996-05-01",63,10941.8992088668,7136131,6129.8
"78","1996-06-01",63.2,9860.16652905539,7157364,6145.3
"79","1996-07-01",63.3,10191.4288640382,7180065,6158.2
"80","1996-08-01",63.3,10832.4995650457,7203603,6155.6
"81","1996-09-01",63.4,10827.5897201497,7225042,6204.3
"82","1996-10-01",63.5,9997.79297990664,7241649,6223.6
"83","1996-11-01",63.4,10112.4033782468,7253775,6240.6
"84","1996-12-01",63.4,9877.75609792349,7263935,6260.2
"85","1997-01-01",63.4,10272.2938473981,7274764,6286.1
"86","1997-02-01",63.4,10543.4829774887,7288426,6291.6
"87","1997-03-01",63.6,11317.7467133717,7306706,6312.2
"88","1997-04-01",63.7,11242.6544175126,7329934,6355.2
"89","1997-05-01",63.8,10999.4908742258,7353959,6369.2
"90","1997-06-01",63.7,10961.8706667085,7374788,6392.4
"91","1997-07-01",63.9,11681.9765371245,7391349,6415.5
"92","1997-08-01",63.9,9189.6038540292,7404058,6397.4
"93","1997-09-01",63.9,11601.1721530702,7414542,6462.3
"94","1997-10-01",63.9,11987.5665164551,7424421,6462.1
"95","1997-11-01",64.1,9478.4719927343,7433797,6478.4
"96","1997-12-01",64,11035.8593453601,7443445,6499.5
"97","1998-01-01",64,11172.1587334287,7453805,6530.6
"98","1998-02-01",64,11011.2057787137,7464967,6540
"99","1998-03-01",64,11404.7821712155,7475480,6549.8
"100","1998-04-01",64.1,11610.1499065226,7485300,6549.8
"101","1998-05-01",64.1,11179.3716426714,7496435,6573.5
"102","1998-06-01",64,12044.4227129711,7509764,6609.9
"103","1998-07-01",64,12716.8863988155,7524598,6623.5
"104","1998-08-01",63.9,12692.8583914428,7540917,6591.6
"105","1998-09-01",64.2,11419.1645599404,7558590,6646
"106","1998-10-01",64.1,13284.3776652854,7576163,6679
"107","1998-11-01",64.2,13407.3256331228,7591256,6699.3
"108","1998-12-01",64.3,12973.7674813337,7602301,6716.3
"109","1999-01-01",64.4,14215.9371642191,7609546,6708.6
"110","1999-02-01",64.2,13953.3311526829,7615200,6737.6
"111","1999-03-01",64.2,13271.1745045674,7621791,6747.9
"112","1999-04-01",64.2,13804.5246233047,7630018,6759
"113","1999-05-01",64.3,11150.8568458231,7638792,6779.1
"114","1999-06-01",64.2,13702.8511140413,7648071,6823
"115","1999-07-01",64.2,13143.8312117727,7657318,6799.8
"116","1999-08-01",64.2,13590.1759984403,7666794,6767.3
"117","1999-09-01",64.2,12695.6821760427,7678355,6816.9
"118","1999-10-01",64.3,13166.9478506508,7693788,6862.8
"119","1999-11-01",64.4,11910.1020827344,7715006,6886
"120","1999-12-01",64.4,16268.8699642045,7740561,6913.5
"121","2000-01-01",64.6,11628.7992360022,7766891,6944.5
"122","2000-02-01",64.6,12199.0072154204,7789735,6950.9
"123","2000-03-01",64.6,11964.5633584572,7807619,6983.1
"124","2000-04-01",64.7,11212.7049312097,7821650,7006.8
"125","2000-05-01",64.4,12797.7831944852,7833369,7039.5
"126","2000-06-01",64.5,14289.7006695822,7843623,7026.8
"127","2000-07-01",64.2,10747.0388076228,7854270,7073.9
"128","2000-08-01",64.2,11787.8203296246,7868460,7127.1
"129","2000-09-01",64.2,13397.8242477791,7887105,7112.9
"130","2000-10-01",64.2,11826.5561053497,7910710,7117.2
"131","2000-11-01",64.3,13822.1810761597,7938329,7129.4
"132","2000-12-01",64.4,13032.3273846188,7967452,7143.7
"133","2001-01-01",64.4,12934.7618622789,7994604,7126.2
"134","2001-02-01",64.3,11913.3274443489,8016913,7142.4
"135","2001-03-01",64.3,15580.5133239583,8031769,7152.9
"136","2001-04-01",64,12907.2324237652,8038229,7152.5
"137","2001-05-01",63.8,15587.0711991157,8040603,7156.2
"138","2001-06-01",63.7,12530.7599868056,8043285,7142.8
"139","2001-07-01",63.7,13731.7396998597,8049913,7157.9
"140","2001-08-01",63.2,14477.0255759089,8059278,7185.6
"141","2001-09-01",63.5,13623.5216140063,8069917,7157.5
"142","2001-10-01",63.2,11254.7772880101,8040672,7137.5
"143","2001-11-01",63,15129.2186138008,8049668,7121.5
